,Average MSE
0,4.262640158335368
1,4.089412609736125
2,3.8403978745142617
3,3.483008941014608
4,3.031731049219767
5,2.6175835529963174
6,2.363101601600647
7,2.251816511154175
8,2.1927170356114707
9,2.1736797094345093
10,2.1513352394104004
11,2.1342480182647705
12,2.1121025880177817
13,2.1111478010813394
14,2.1018549601236978
15,2.0951524575551352
16,2.0796948075294495
17,2.0807729959487915
18,2.061894416809082
19,2.0641583601633706
