,D_A_losses,D_B_losses,G_losses
0,0.24981701374053955,0.24988168478012085,0.5558655858039856
1,0.24943682551383972,0.25149354338645935,0.5533643364906311
2,0.24785611033439636,0.24898847937583923,0.5499066114425659
3,0.24818155169487,0.24953491985797882,0.5527907609939575
4,0.24950233101844788,0.24840639531612396,0.5520368814468384
5,0.24803438782691956,0.24860824644565582,0.5517690181732178
6,0.2479170858860016,0.24754562973976135,0.5506665706634521
7,0.24683251976966858,0.24825797975063324,0.5506975054740906
8,0.24708738923072815,0.24764588475227356,0.5515013933181763
9,0.24711257219314575,0.245989590883255,0.5511242151260376
10,0.24510204792022705,0.24714547395706177,0.5488923788070679
11,0.24503302574157715,0.24614772200584412,0.5486050248146057
12,0.24497336149215698,0.24493849277496338,0.5464519262313843
13,0.24437439441680908,0.24351456761360168,0.5432252287864685
14,0.24555741250514984,0.24293285608291626,0.5434712171554565
15,0.24609297513961792,0.2437986433506012,0.5404526591300964
16,0.24219119548797607,0.24318113923072815,0.5404307842254639
17,0.24496841430664062,0.2415447235107422,0.5374692678451538
18,0.24413904547691345,0.24019300937652588,0.5346978306770325
19,0.24144822359085083,0.24198666214942932,0.5378282070159912
20,0.24825473129749298,0.23640230298042297,0.5352143049240112
21,0.24193251132965088,0.23855391144752502,0.5327379703521729
22,0.2400272786617279,0.23785318434238434,0.5346664190292358
23,0.24514448642730713,0.23602116107940674,0.5282025933265686
24,0.24490949511528015,0.23532533645629883,0.5281411409378052
25,0.24132978916168213,0.23448944091796875,0.5262496471405029
26,0.2467806190252304,0.23209822177886963,0.5255348682403564
27,0.24659141898155212,0.23032447695732117,0.5297794342041016
28,0.24694786965847015,0.23011286556720734,0.5304473042488098
29,0.24646809697151184,0.22931960225105286,0.5290043950080872
30,0.2463434934616089,0.22819000482559204,0.523270845413208
31,0.25225308537483215,0.22358286380767822,0.5228480100631714
32,0.24607029557228088,0.22339022159576416,0.5211954116821289
33,0.2448253333568573,0.22414548695087433,0.5260655283927917
34,0.2505897879600525,0.22085733711719513,0.5208611488342285
35,0.25047028064727783,0.21366721391677856,0.533446192741394
