,Average MSE
0,4.190137883027394
1,3.1043203274408975
2,2.222729668021202
3,2.144005368153254
4,2.1308491627375283
5,2.1252553512652717
6,2.122090140978495
7,2.1048868199189505
8,2.1086986561616263
9,2.1043001115322113
10,2.100592394669851
11,2.1008929858605065
12,2.1030000746250153
13,2.0929099371035895
14,2.0901973148187003
15,2.079914222160975
16,2.0888059536616006
17,2.083058093984922
18,2.0746795535087585
19,2.0790887971719108
